Hub,RemovalSite,DisposalSite,SnowTransported,Start_Lat,Start_Lng,End_Lat,End_Lng
VMA-109,LAC-102,St-Michel-17ième(Sous-Sol),84276.29,45.44874551,-73.7207966,45.576,-73.625
VMA-109,SLA-363,St-Michel-17ième(Sous-Sol),84510.81,45.52393904,-73.70679262,45.576,-73.625
VMA-109,VSP-109,Iberville (PMR),137970.19,45.54102211,-73.64189435,45.533,-73.555
VMA-109,SLA-370,Riverside (VMA),81596.87,45.4971947,-73.69939657,45.491,-73.552
VMA-109,MTN-102,Iberville (PMR),115918.37,45.61189793,-73.60166814,45.533,-73.555
VMA-109,ANJ-312,Iberville (PMR),190725.51,45.61258773,-73.60235426,45.533,-73.555
VMA-109,SLA-365,St-Michel-17ième(Sous-Sol),100648.23,45.50832976,-73.71576601,45.576,-73.625
VMA-109,VSP-103,Iberville (PMR),145643.47,45.5465949,-73.63769029,45.533,-73.555
VMA-109,ANJ-311,Iberville (PMR),74463.74,45.5993434,-73.5771954,45.533,-73.555
VMA-109,SLA-366,Iberville (PMR),81563.47,45.52827247,-73.69257716,45.533,-73.555
VMA-109,LAC-305,St-Michel-17ième(Sous-Sol),61232.24,45.47359968,-73.7081493,45.576,-73.625
VMA-109,ANJ-101,Iberville (PMR),135587.31,45.62486671,-73.54666744,45.533,-73.555
VMA-109,SLA-371,Iberville (PMR),80953.24,45.52568678,-73.67938079,45.533,-73.555
VMA-109,LAC-306,St-Michel-17ième(Sous-Sol),149069.24,45.44785518,-73.69973418,45.576,-73.625
VMA-109,LAC-104,St-Michel-17ième(Sous-Sol),52879.08,45.46451771,-73.69477837,45.576,-73.625
VMA-109,MTN-307,Iberville (PMR),179912.37,45.6106194,-73.60719834,45.533,-73.555
VMA-109,SLA-368,St-Michel-17ième(Sous-Sol),92066.03,45.51432286,-73.73363993,45.576,-73.625
VMA-109,MTN-103,St-Michel-17ième(Sous-Sol),106176.99,45.62595631,-73.616592,45.576,-73.625
VMA-109,MTN-104,Iberville (PMR),105891.84,45.60551289,-73.62405162,45.533,-73.555
VMA-109,SLA-367,St-Michel-17ième(Sous-Sol),96600.02,45.52225915,-73.73416154,45.576,-73.625
VMA-109,RDP-202,St-Michel-17ième(Sous-Sol),115670.96,45.64820144,-73.54440856,45.576,-73.625
VMA-109,RDP-102,St-Michel - Robert (VSP),163220.74000000002,45.63457353,-73.58575489,45.573,-73.612
VMA-109,RDP-201,St-Michel-17ième(Sous-Sol),166379.71,45.64153239,-73.57656323,45.576,-73.625
VMA-109,RDP-101,St-Michel-17ième(Sous-Sol),198928.84,45.64505274,-73.59683981,45.576,-73.625
VMA-109,RDP-103,St-Michel-17ième(Sous-Sol),201736.38,45.64505274,-73.59683981,45.576,-73.625
VMA-109,AHU-101,Millen (AHU),146517.1,45.54427433,-73.70412065,45.557,-73.668
VMA-109,AHU-103,Millen (AHU),174266.08,45.54427433,-73.70412065,45.557,-73.668
VMA-109,RDP-203,Iberville (PMR),182385.61,45.65248011,-73.51038355,45.533,-73.555
VMA-109,RDP-107,Iberville (PMR),173405.52,45.65248011,-73.51038355,45.533,-73.555
VMA-109,AHU-202,Millen (AHU),135547.87,45.54975712,-73.67922621,45.557,-73.668
VMA-109,AHU-104,Millen (AHU),128579.68,45.54722741,-73.69246631,45.557,-73.668
VMA-109,AHU-102,Millen (AHU),166156.4,45.54355918,-73.70279457,45.557,-73.668
VMA-109,AHU-201,Millen (AHU),132188.9,45.55986009,-73.67179148,45.557,-73.668
VMA-109,PRF-304F,St-Michel-17ième(Sous-Sol),22601.93,45.50442266,-73.75168321,45.576,-73.625
VMA-109,RDP-105,St-Michel-17ième(Sous-Sol),157347.72,45.6981362,-73.50951395,45.576,-73.625
VMA-109,RDP-106,St-Michel-17ième(Sous-Sol),182306.97,45.69558777,-73.50961773,45.576,-73.625
VMA-109,PRF-304E,St-Michel-17ième(Sous-Sol),38547.16,45.50570163,-73.79508132,45.576,-73.625
VMA-109,PRF-304D,St-Michel-17ième(Sous-Sol),19647.35,45.51669083,-73.84362667,45.576,-73.625
VMA-109,PRF-304C,St-Michel-17ième(Sous-Sol),22260.38,45.48888963,-73.85979422,45.576,-73.625
VMA-109,PRF-304B,St-Michel-17ième(Sous-Sol),24034.84,45.46585424,-73.87304961,45.576,-73.625
VMA-109,IBI-301,St-Michel-17ième(Sous-Sol),23055.45,45.46775634,-73.90173477,45.576,-73.625
VMA-307,VMA-109,Fullum (VMA),93274.51,45.49917824,-73.56230036,45.525,-73.545
VMA-307,VMA-307,Fullum (VMA),82691.13,45.51550898,-73.56114693,45.525,-73.545
VMA-307,VMA-306,Fullum (VMA),96229.11,45.51979422,-73.56636476,45.525,-73.545
VMA-307,VMA-111,Fullum (VMA),85847.51,45.5124151,-73.56966732,45.525,-73.545
VMA-307,VMA-110,Riverside (VMA),127483.61,45.4987999,-73.57666971,45.491,-73.552
VMA-307,PMR-101,Iberville (PMR),158592.4,45.53189772,-73.59390183,45.533,-73.555
VMA-307,PMR-102,Fullum (VMA),144354.73,45.51588553,-73.59052976,45.525,-73.545
VMA-307,S-O-104,Riverside (VMA),136883.4,45.48772195,-73.56854884,45.491,-73.552
VMA-307,PMR-204,Iberville (PMR),80600.83,45.53959729,-73.56831073,45.533,-73.555
VMA-307,MHM-109,Iberville (PMR),126720.19,45.54117536,-73.55830691,45.533,-73.555
VMA-307,PMR-203,Iberville (PMR),97228.93,45.53341693,-73.592195,45.533,-73.555
VMA-307,RPP-201,Iberville (PMR),116858.26,45.54046257,-73.61308137,45.533,-73.555
VMA-307,MHM-209,Iberville (PMR),124186.67,45.55347871,-73.55165706,45.533,-73.555
VMA-307,MHM-210,Iberville (PMR),156288.64,45.55468483,-73.55428138,45.533,-73.555
VMA-307,RPP-204,Iberville (PMR),123910.35,45.54868487,-73.60171691,45.533,-73.555
VMA-307,RPP-101,Iberville (PMR),100797.42,45.53176015,-73.62078145,45.533,-73.555
VMA-307,RPP-102,Iberville (PMR),95611.77,45.55287401,-73.58050178,45.533,-73.555
VMA-307,OUT-101,Iberville (PMR),170139.37,45.51658042,-73.62672222,45.533,-73.555
VMA-307,RPP-104,Iberville (PMR),152513.24,45.55789801,-73.56557695,45.533,-73.555
VMA-307,VER-310B,Riverside (VMA),91295.89,45.4669972,-73.53190369,45.491,-73.552
VMA-307,VSP-107,Iberville (PMR),125642.5,45.55484377,-73.62091446,45.533,-73.555
VMA-307,CDN-111,Butler (S-O),70225.35,45.4725436,-73.6124776,45.475,-73.569
VMA-307,VSP-206,Iberville (PMR),107770.34,45.56027421,-73.60897427,45.533,-73.555
VMA-307,S-O-201B,Riverside (VMA),107975.69,45.46974659,-73.58305727,45.491,-73.552
VMA-307,RPP-205,Iberville (PMR),133863.99,45.56540501,-73.58812198,45.533,-73.555
VMA-307,AHU-107,Millen (AHU),165025.8,45.55110129,-73.65335819,45.557,-73.668
VMA-307,RPP-103,Iberville (PMR),113049.76,45.57364057,-73.58076923,45.533,-73.555
VMA-307,S-O-201A,Riverside (VMA),94217.6,45.45783633,-73.61364497,45.491,-73.552
VMA-307,AHU-105,SauvÃ© (AHU),144586.67,45.54287252,-73.65814723,45.54,-73.665
VMA-307,MHM-211,Iberville (PMR),120956.77,45.58767097,-73.54121714,45.533,-73.555
VMA-307,VSP-104,Iberville (PMR),126061.39,45.56497012,-73.645257,45.533,-73.555
VMA-307,MHM-105,Iberville (PMR),135651.25,45.59086138,-73.52540373,45.533,-73.555
VMA-307,CDN-112,Riverside (VMA),85719.86,45.4852088,-73.62813247,45.491,-73.552
VMA-307,S-O-103,Saint-Pierre (LAC),197580.1,45.45071293,-73.63515371,45.468,-73.599
VMA-307,SLE-109,Iberville (PMR),108860.15,45.57619682,-73.59335768,45.533,-73.555
