PickupSector,DisposalSite, Distance (km)
LAC-104,46 ieme (LAC),4.685883
LAC-104,Angrignon (LAS),11.925087
LAC-104,Armand-Chaput (RDP),29.907072
LAC-104,Autoroute 13 (PRF),8.292947
LAC-104,Château Pierrefonds (PRF),21.420445
LAC-104,Lafarge (sud) (MHM),25.218621
LAC-104,Langelier (SLE),20.849131
LAC-104,Newman (S-O),13.433551
LAC-104,Ray-Lawson (ANJ),22.837891
LAC-104,Sartelon (SLA),9.873675
LAC-104,Thimens (SLA),5.243611
LAC-305,St-Michel - Charland (VSP),30.132867
LAC-305,St-Michel - Robert (VSP),19.088127
LAC-305,St-Michel-17ième(Sous-Sol),18.983295
LAC-305,Butler (S-O),17.525416
LAC-305,De la Salle (MHM),24.885154
LAC-305,Fullum (VMA),21.8541
LAC-305,Iberville (PMR),23.637025
LAC-305,Jules-Poitras 1 (AHU),11.191282
LAC-305,Jules-Poitras 2 (SLA),11.988837
LAC-305,Lausanne (MTN),28.885182
LAC-305,Millen (AHU),14.881396
LAC-305,Riverside (VMA),20.021291
LAC-305,Saint-Pierre (LAC),14.268019
LAC-305,Sauvé (AHU),13.730802
LAC-305,Verdun (VER),17.788869
LAC-305,46 ieme (LAC),4.912329
LAC-305,Angrignon (LAS),13.044141
LAC-305,Armand-Chaput (RDP),32.527947
LAC-305,Autoroute 13 (PRF),5.15389
LAC-305,Château Pierrefonds (PRF),18.281387
LAC-305,Lafarge (sud) (MHM),27.839494
LAC-305,Langelier (SLE),36.798352
LAC-305,Newman (S-O),14.552604
LAC-305,Ray-Lawson (ANJ),37.382668
LAC-305,Sartelon (SLA),6.734618
LAC-305,Thimens (SLA),5.151369
LAC-306,St-Michel - Charland (VSP),20.337898
LAC-306,St-Michel - Robert (VSP),19.57451
LAC-306,St-Michel-17ième(Sous-Sol),19.46968
LAC-306,Butler (S-O),13.899808
LAC-306,De la Salle (MHM),21.259545
LAC-306,Fullum (VMA),18.228488
LAC-306,Iberville (PMR),20.011416
LAC-306,Jules-Poitras 1 (AHU),15.24777
LAC-306,Jules-Poitras 2 (SLA),14.909162
LAC-306,Lausanne (MTN),32.941668
LAC-306,Millen (AHU),17.311742
LAC-306,Riverside (VMA),16.395682
LAC-306,Saint-Pierre (LAC),10.642409
LAC-306,Sauvé (AHU),16.161148
LAC-306,Verdun (VER),14.163263
LAC-306,46 ieme (LAC),4.447362
LAC-306,Angrignon (LAS),9.41853
LAC-306,Armand-Chaput (RDP),33.014332
LAC-306,Autoroute 13 (PRF),9.210377
LAC-306,Château Pierrefonds (PRF),19.682125
LAC-306,Lafarge (sud) (MHM),28.325881
LAC-306,Langelier (SLE),23.956389
LAC-306,Newman (S-O),10.926994
LAC-306,Ray-Lawson (ANJ),25.945146
LAC-306,Sartelon (SLA),10.791105
LAC-306,Thimens (SLA),9.207856
LAS-321,St-Michel - Charland (VSP),23.858768
LAS-321,St-Michel - Robert (VSP),23.200143
LAS-321,St-Michel-17ième(Sous-Sol),22.990549
LAS-321,Butler (S-O),5.733257
LAS-321,De la Salle (MHM),16.143995
LAS-321,Fullum (VMA),13.112938
LAS-321,Iberville (PMR),14.895864
LAS-321,Jules-Poitras 1 (AHU),18.667949
LAS-321,Jules-Poitras 2 (SLA),18.503238
LAS-321,Lausanne (MTN),42.72325
LAS-321,Millen (AHU),20.905818
LAS-321,Riverside (VMA),11.948984
LAS-321,Saint-Pierre (LAC),3.982974
LAS-321,Sauvé (AHU),19.755223
LAS-321,Verdun (VER),5.996712
LAS-321,46 ieme (LAC),14.283262
LAS-321,Angrignon (LAS),3.999564
LAS-321,Armand-Chaput (RDP),35.771211
LAS-321,Autoroute 13 (PRF),18.991959
LAS-321,Château Pierrefonds (PRF),29.518025
LAS-321,Lafarge (sud) (MHM),25.333068
LAS-321,Langelier (SLE),29.880201
LAS-321,Newman (S-O),3.562122
LAS-321,Ray-Lawson (ANJ),28.898535
LAS-321,Sartelon (SLA),20.572688
LAS-321,Thimens (SLA),18.989438
LAS-323,St-Michel - Charland (VSP),28.388992
LAS-323,St-Michel - Robert (VSP),27.625605
LAS-323,St-Michel-17ième(Sous-Sol),27.520771
LAS-323,Butler (S-O),7.199465
LAS-323,De la Salle (MHM),17.610203
LAS-323,Fullum (VMA),14.579147
LAS-323,Iberville (PMR),16.362072
LAS-323,Jules-Poitras 1 (AHU),24.118262
LAS-323,Jules-Poitras 2 (SLA),22.960254
LAS-323,Lausanne (MTN),40.992762
LAS-323,Millen (AHU),25.362834
LAS-323,Riverside (VMA),13.415192
LAS-323,Saint-Pierre (LAC),5.32383
LAS-323,Sauvé (AHU),24.21224
LAS-323,Verdun (VER),7.46292
LAS-323,46 ieme (LAC),12.552772
LAS-323,Angrignon (LAS),5.016519
LAS-323,Armand-Chaput (RDP),37.237418
LAS-323,Autoroute 13 (PRF),17.261469
LAS-323,Château Pierrefonds (PRF),27.787537
LAS-323,Lafarge (sud) (MHM),26.799275
LAS-323,Langelier (SLE),32.00748
LAS-323,Newman (S-O),4.579076
LAS-323,Ray-Lawson (ANJ),30.364744
LAS-323,Sartelon (SLA),18.842197
LAS-323,Thimens (SLA),17.258949
LAS-325,St-Michel - Charland (VSP),26.154314
LAS-325,St-Michel - Robert (VSP),25.390928
LAS-325,St-Michel-17ième(Sous-Sol),25.286094
LAS-325,Butler (S-O),10.876578
LAS-325,De la Salle (MHM),18.236314
LAS-325,Fullum (VMA),15.205262
LAS-325,Iberville (PMR),16.988186
LAS-325,Jules-Poitras 1 (AHU),21.883586
LAS-325,Jules-Poitras 2 (SLA),20.725578
LAS-325,Lausanne (MTN),38.758082
LAS-325,Millen (AHU),23.128158
LAS-325,Riverside (VMA),13.372454
LAS-325,Saint-Pierre (LAC),7.688697
LAS-325,Sauvé (AHU),21.977562
LAS-325,Verdun (VER),11.140033
LAS-325,46 ieme (LAC),10.318096
LAS-325,Angrignon (LAS),4.761227
LAS-325,Armand-Chaput (RDP),38.830746
LAS-325,Autoroute 13 (PRF),15.026794
LAS-325,Château Pierrefonds (PRF),25.552857
LAS-325,Lafarge (sud) (MHM),27.425391
LAS-325,Langelier (SLE),29.772803
LAS-325,Newman (S-O),4.872667
LAS-325,Ray-Lawson (ANJ),31.761562
LAS-325,Sartelon (SLA),16.607521
LAS-325,Thimens (SLA),15.024271
LAS-326,Angrignon (LAS),5.683346
LAS-326,Armand-Chaput (RDP),38.382426
LAS-326,Autoroute 13 (PRF),14.578471
LAS-326,Château Pierrefonds (PRF),25.104535
LAS-326,Lafarge (sud) (MHM),27.151783
LAS-326,Langelier (SLE),29.324482
LAS-326,Newman (S-O),5.715466
LAS-326,Ray-Lawson (ANJ),31.31324
LAS-326,Sartelon (SLA),16.159199
LAS-326,Thimens (SLA),14.57595
LAS-327,Angrignon (LAS),3.276483
LAS-327,Armand-Chaput (RDP),36.378793
LAS-327,Autoroute 13 (PRF),14.398139
LAS-327,Château Pierrefonds (PRF),24.924203
LAS-327,Lafarge (sud) (MHM),25.940646
LAS-327,Langelier (SLE),29.14415
LAS-327,Newman (S-O),4.4873
LAS-327,Ray-Lawson (ANJ),29.506115
LAS-327,Sartelon (SLA),15.978866
LAS-327,Thimens (SLA),14.395618
LAS-328,Angrignon (LAS),2.437491
LAS-328,Armand-Chaput (RDP),36.227
LAS-328,Autoroute 13 (PRF),14.876218
LAS-328,Château Pierrefonds (PRF),25.402285
LAS-328,Lafarge (sud) (MHM),25.788857
LAS-328,Langelier (SLE),29.62223
LAS-328,Newman (S-O),2.414746
LAS-328,Ray-Lawson (ANJ),29.354324
LAS-328,Sartelon (SLA),16.456945
LAS-328,Thimens (SLA),14.873698
LAS-329,St-Michel - Charland (VSP),23.722918
LAS-329,St-Michel - Robert (VSP),22.959529
LAS-329,St-Michel-17ième(Sous-Sol),22.854695
LAS-329,Butler (S-O),8.364316
LAS-329,De la Salle (MHM),15.724054
LAS-329,Fullum (VMA),12.692998
LAS-329,Iberville (PMR),14.475924
LAS-329,Jules-Poitras 1 (AHU),19.452186
LAS-329,Jules-Poitras 2 (SLA),18.29418
LAS-329,Lausanne (MTN),36.326688
LAS-329,Millen (AHU),20.696758
LAS-329,Riverside (VMA),10.860191
LAS-329,Saint-Pierre (LAC),5.106917
LAS-329,Sauvé (AHU),19.546164
LAS-329,Verdun (VER),8.627771
LAS-329,46 ieme (LAC),7.886697
LAS-329,Angrignon (LAS),3.88304
LAS-329,Armand-Chaput (RDP),35.35127
LAS-329,Autoroute 13 (PRF),12.595395
LAS-329,Château Pierrefonds (PRF),23.121461
LAS-329,Lafarge (sud) (MHM),24.913127
LAS-329,Langelier (SLE),29.46026
LAS-329,Newman (S-O),4.021796
LAS-329,Ray-Lawson (ANJ),28.478594
LAS-329,Sartelon (SLA),14.176122
LAS-329,Thimens (SLA),12.592874
LAS-330,St-Michel - Charland (VSP),25.768818
LAS-330,St-Michel - Robert (VSP),25.005432
LAS-330,St-Michel-17ième(Sous-Sol),24.900598
LAS-330,Butler (S-O),10.665797
LAS-330,De la Salle (MHM),18.025535
LAS-330,Fullum (VMA),14.99448
LAS-330,Iberville (PMR),16.777404
LAS-330,Jules-Poitras 1 (AHU),21.498088
LAS-330,Jules-Poitras 2 (SLA),20.340082
LAS-330,Lausanne (MTN),38.37259
LAS-330,Millen (AHU),22.742662
LAS-330,Riverside (VMA),13.161674
LAS-330,Saint-Pierre (LAC),7.494945
LAS-330,Sauvé (AHU),21.592066
LAS-330,Verdun (VER),10.929252
LAS-330,46 ieme (LAC),9.932599
LAS-330,Angrignon (LAS),5.746172
LAS-330,Armand-Chaput (RDP),37.65275
LAS-330,Autoroute 13 (PRF),14.641297
LAS-330,Château Pierrefonds (PRF),25.167361
LAS-330,Lafarge (sud) (MHM),27.214611
LAS-330,Langelier (SLE),29.387307
LAS-330,Newman (S-O),5.778292
LAS-330,Ray-Lawson (ANJ),30.780076
LAS-330,Sartelon (SLA),16.222025
LAS-330,Thimens (SLA),14.638774
LAS-333,St-Michel - Charland (VSP),26.552924
LAS-333,St-Michel - Robert (VSP),25.789533
LAS-333,St-Michel-17ième(Sous-Sol),25.684699
LAS-333,Butler (S-O),11.758123
LAS-333,De la Salle (MHM),19.117863
LAS-333,Fullum (VMA),16.086808
LAS-333,Iberville (PMR),17.86973
LAS-333,Jules-Poitras 1 (AHU),22.282189
LAS-333,Jules-Poitras 2 (SLA),21.124186
LAS-333,Lausanne (MTN),39.156691
LAS-333,Millen (AHU),23.526766
LAS-333,Riverside (VMA),14.253999
LAS-333,Saint-Pierre (LAC),8.500726
LAS-333,Sauvé (AHU),22.37617
LAS-333,Verdun (VER),12.021578
LAS-333,46 ieme (LAC),10.716702
LAS-333,Angrignon (LAS),5.511229
LAS-333,Armand-Chaput (RDP),39.229355
LAS-333,Autoroute 13 (PRF),15.425399
LAS-333,Château Pierrefonds (PRF),25.951463
LAS-333,Lafarge (sud) (MHM),28.306936
LAS-333,Langelier (SLE),30.171412
LAS-333,Newman (S-O),6.718376
LAS-333,Ray-Lawson (ANJ),31.872402
LAS-333,Sartelon (SLA),17.006129
LAS-333,Thimens (SLA),15.422879
MHM-105,St-Michel - Charland (VSP),12.351755
MHM-105,St-Michel - Robert (VSP),9.388173
MHM-105,St-Michel-17ième(Sous-Sol),11.483534
MHM-105,Butler (S-O),15.935708
MHM-105,De la Salle (MHM),6.248499
MHM-105,Fullum (VMA),9.338418
MHM-105,Iberville (PMR),7.226867
MHM-105,Jules-Poitras 1 (AHU),20.690697
MHM-105,Jules-Poitras 2 (SLA),17.901695
MHM-105,Lausanne (MTN),11.753762
MHM-105,Millen (AHU),14.796554
MHM-105,Riverside (VMA),13.262676
MHM-105,Saint-Pierre (LAC),18.356445
MHM-105,Sauvé (AHU),16.070402
MHM-105,Verdun (VER),17.378736
MHM-105,46 ieme (LAC),26.286336
MHM-105,Angrignon (LAS),21.03202
MHM-105,Armand-Chaput (RDP),13.713256
MHM-105,Autoroute 13 (PRF),37.346289
MHM-105,Château Pierrefonds (PRF),38.727289
MHM-105,Lafarge (sud) (MHM),3.803933
MHM-105,Langelier (SLE),7.822245
MHM-105,Newman (S-O),20.263652
MHM-105,Ray-Lawson (ANJ),6.840579
MHM-105,Sartelon (SLA),22.673371
MHM-105,Thimens (SLA),22.911857
MHM-106,St-Michel - Charland (VSP),13.283298
MHM-106,St-Michel - Robert (VSP),10.319716
MHM-106,St-Michel-17ième(Sous-Sol),12.415077
MHM-106,Butler (S-O),16.867252
MHM-106,De la Salle (MHM),7.180041
MHM-106,Fullum (VMA),10.26996
MHM-106,Iberville (PMR),7.68549
MHM-106,Jules-Poitras 1 (AHU),21.622238
MHM-106,Jules-Poitras 2 (SLA),18.833238
MHM-106,Lausanne (MTN),12.685305
MHM-106,Millen (AHU),15.728096
MHM-106,Riverside (VMA),14.194219
MHM-106,Saint-Pierre (LAC),19.287986
MHM-106,Sauvé (AHU),17.001947
MHM-106,Verdun (VER),18.310277
MHM-106,46 ieme (LAC),27.217881
MHM-106,Angrignon (LAS),21.963561
MHM-106,Armand-Chaput (RDP),9.980477
MHM-106,Autoroute 13 (PRF),26.71099
MHM-106,Château Pierrefonds (PRF),39.658828
MHM-106,Lafarge (sud) (MHM),2.827416
MHM-106,Langelier (SLE),8.753788
MHM-106,Newman (S-O),21.195195
MHM-106,Ray-Lawson (ANJ),5.379838
MHM-106,Sartelon (SLA),23.604914
MHM-106,Thimens (SLA),23.843402
MHM-107,St-Michel - Charland (VSP),10.089655
MHM-107,St-Michel - Robert (VSP),7.124074
MHM-107,St-Michel-17ième(Sous-Sol),9.221435
MHM-107,Butler (S-O),17.041143
MHM-107,De la Salle (MHM),7.353933
MHM-107,Fullum (VMA),10.443854
MHM-107,Iberville (PMR),7.678331
MHM-107,Jules-Poitras 1 (AHU),18.428594
MHM-107,Jules-Poitras 2 (SLA),15.639595
MHM-107,Lausanne (MTN),12.748077
MHM-107,Millen (AHU),12.534453
MHM-107,Riverside (VMA),14.368111
MHM-107,Saint-Pierre (LAC),19.461879
MHM-107,Sauvé (AHU),13.808304
MHM-107,Verdun (VER),18.484172
MHM-107,46 ieme (LAC),24.024238
MHM-107,Angrignon (LAS),22.137453
MHM-107,Armand-Chaput (RDP),14.707571
MHM-107,Autoroute 13 (PRF),23.51735
MHM-107,Château Pierrefonds (PRF),36.465184
MHM-107,Lafarge (sud) (MHM),4.442079
MHM-107,Langelier (SLE),5.508091
MHM-107,Newman (S-O),21.36909
MHM-107,Ray-Lawson (ANJ),7.834894
MHM-107,Sartelon (SLA),20.41127
MHM-107,Thimens (SLA),20.64976
MHM-108,St-Michel - Charland (VSP),8.306646
MHM-108,St-Michel - Robert (VSP),5.341065
MHM-108,St-Michel-17ième(Sous-Sol),7.438425
MHM-108,Butler (S-O),18.710498
MHM-108,De la Salle (MHM),9.023288
MHM-108,Fullum (VMA),12.113208
MHM-108,Iberville (PMR),9.206425
MHM-108,Jules-Poitras 1 (AHU),16.645586
MHM-108,Jules-Poitras 2 (SLA),13.856587
MHM-108,Lausanne (MTN),8.675562
MHM-108,Millen (AHU),10.751444
MHM-108,Riverside (VMA),16.037466
MHM-108,Saint-Pierre (LAC),21.131232
MHM-108,Sauvé (AHU),12.025295
MHM-108,Verdun (VER),20.153525
MHM-108,46 ieme (LAC),22.241229
MHM-108,Angrignon (LAS),23.806809
MHM-108,Armand-Chaput (RDP),9.894761
MHM-108,Autoroute 13 (PRF),21.73434
MHM-108,Château Pierrefonds (PRF),34.682176
MHM-108,Lafarge (sud) (MHM),6.696563
MHM-108,Langelier (SLE),3.725083
MHM-108,Newman (S-O),23.038443
MHM-108,Ray-Lawson (ANJ),4.636227
MHM-108,Sartelon (SLA),18.628262
MHM-108,Thimens (SLA),18.86675
MHM-109,St-Michel - Charland (VSP),8.185672
MHM-109,St-Michel - Robert (VSP),7.116896
MHM-109,St-Michel-17ième(Sous-Sol),7.317451
MHM-109,Butler (S-O),9.856407
MHM-109,De la Salle (MHM),3.671272
MHM-109,Fullum (VMA),3.259116
MHM-109,Iberville (PMR),1.224909
MHM-109,Jules-Poitras 1 (AHU),16.528664
MHM-109,Jules-Poitras 2 (SLA),13.739663
MHM-109,Lausanne (MTN),9.662468
MHM-109,Millen (AHU),10.634521
MHM-109,Riverside (VMA),7.183375
MHM-109,Saint-Pierre (LAC),12.277143
MHM-109,Sauvé (AHU),11.908372
MHM-109,Verdun (VER),11.299434
MHM-109,46 ieme (LAC),22.713266
MHM-109,Angrignon (LAS),14.952717
MHM-109,Armand-Chaput (RDP),19.435896
MHM-109,Autoroute 13 (PRF),27.421965
MHM-109,Château Pierrefonds (PRF),37.948031
MHM-109,Lafarge (sud) (MHM),9.170403
MHM-109,Langelier (SLE),10.538063
MHM-109,Newman (S-O),14.184352
MHM-109,Ray-Lawson (ANJ),12.563219
MHM-109,Sartelon (SLA),29.002695
MHM-109,Thimens (SLA),22.197273
MHM-209,St-Michel - Charland (VSP),8.476046
MHM-209,St-Michel - Robert (VSP),5.805237
MHM-209,St-Michel-17ième(Sous-Sol),7.699953
MHM-209,Butler (S-O),11.563076
MHM-209,De la Salle (MHM),1.884728
MHM-209,Fullum (VMA),4.965785
MHM-209,Iberville (PMR),2.828399
MHM-209,Jules-Poitras 1 (AHU),16.911166
MHM-209,Jules-Poitras 2 (SLA),14.122165
MHM-209,Lausanne (MTN),9.699753
MHM-209,Millen (AHU),11.017023
MHM-209,Riverside (VMA),8.890043
MHM-209,Saint-Pierre (LAC),13.983812
MHM-209,Sauvé (AHU),12.290873
MHM-209,Verdun (VER),13.006103
MHM-209,46 ieme (LAC),24.419938
MHM-209,Angrignon (LAS),16.659383
MHM-209,Armand-Chaput (RDP),18.124234
MHM-209,Autoroute 13 (PRF),29.128635
MHM-209,Château Pierrefonds (PRF),39.654699
MHM-209,Lafarge (sud) (MHM),7.858745
MHM-209,Langelier (SLE),9.226405
MHM-209,Newman (S-O),15.891021
MHM-209,Ray-Lawson (ANJ),11.761142
MHM-209,Sartelon (SLA),30.709361
MHM-209,Thimens (SLA),23.903943
MHM-210,St-Michel - Charland (VSP),8.22168
MHM-210,St-Michel - Robert (VSP),5.550872
MHM-210,St-Michel-17ième(Sous-Sol),7.445586
MHM-210,Butler (S-O),12.547776
MHM-210,De la Salle (MHM),2.869428
MHM-210,Fullum (VMA),5.950486
MHM-210,Iberville (PMR),3.180608
MHM-210,Jules-Poitras 1 (AHU),16.656799
MHM-210,Jules-Poitras 2 (SLA),13.8678
MHM-210,Lausanne (MTN),9.445387
MHM-210,Millen (AHU),10.762657
MHM-210,Riverside (VMA),9.874744
MHM-210,Saint-Pierre (LAC),14.968513
MHM-210,Sauvé (AHU),12.036508
MHM-210,Verdun (VER),13.990804
MHM-210,46 ieme (LAC),25.404639
MHM-210,Angrignon (LAS),17.644086
MHM-210,Armand-Chaput (RDP),17.869871
MHM-210,Autoroute 13 (PRF),30.113336
MHM-210,Château Pierrefonds (PRF),40.639402
MHM-210,Lafarge (sud) (MHM),7.604378
MHM-210,Langelier (SLE),8.972038
MHM-210,Newman (S-O),16.875721
MHM-210,Ray-Lawson (ANJ),10.997193
MHM-210,Sartelon (SLA),18.639475
MHM-210,Thimens (SLA),18.877963
MHM-211,St-Michel - Charland (VSP),10.916521
MHM-211,St-Michel - Robert (VSP),7.950939
MHM-211,St-Michel-17ième(Sous-Sol),10.0483
MHM-211,Butler (S-O),16.078978
MHM-211,De la Salle (MHM),6.391767
MHM-211,Fullum (VMA),9.481687
MHM-211,Iberville (PMR),6.716163
MHM-211,Jules-Poitras 1 (AHU),19.255461
MHM-211,Jules-Poitras 2 (SLA),16.466459
MHM-211,Lausanne (MTN),12.601827
MHM-211,Millen (AHU),13.361318
MHM-211,Riverside (VMA),13.405945
MHM-211,Saint-Pierre (LAC),18.499715
MHM-211,Sauvé (AHU),14.635168
MHM-211,Verdun (VER),17.522006
MHM-211,46 ieme (LAC),28.935838
MHM-211,Angrignon (LAS),21.175287
MHM-211,Armand-Chaput (RDP),14.56132
MHM-211,Autoroute 13 (PRF),24.344215
MHM-211,Château Pierrefonds (PRF),37.292051
MHM-211,Lafarge (sud) (MHM),4.295829
MHM-211,Langelier (SLE),6.334957
MHM-211,Newman (S-O),20.406922
MHM-211,Ray-Lawson (ANJ),7.688645
MHM-211,Sartelon (SLA),21.238135
MHM-211,Thimens (SLA),21.476623
MTN-102,St-Michel - Charland (VSP),5.445565
MTN-102,St-Michel - Robert (VSP),5.770203
MTN-102,St-Michel-17ième(Sous-Sol),7.192973
MTN-102,Butler (S-O),22.558887
MTN-102,De la Salle (MHM),12.871678
MTN-102,Fullum (VMA),15.961598
MTN-102,Iberville (PMR),13.129749
MTN-102,Jules-Poitras 1 (AHU),14.145354
MTN-102,Jules-Poitras 2 (SLA),12.771281
MTN-102,Lausanne (MTN),5.419871
MTN-102,Millen (AHU),9.252729
MTN-102,Riverside (VMA),19.885855
MTN-102,Saint-Pierre (LAC),24.979621
MTN-102,Sauvé (AHU),11.755255
MTN-102,Verdun (VER),24.001914
MTN-102,46 ieme (LAC),24.43323
MTN-102,Angrignon (LAS),27.655197
MTN-102,Armand-Chaput (RDP),8.738079
MTN-102,Autoroute 13 (PRF),32.423619
MTN-102,Château Pierrefonds (PRF),36.87418
MTN-102,Lafarge (sud) (MHM),9.020433
MTN-102,Langelier (SLE),1.186174
MTN-102,Newman (S-O),26.886834
MTN-102,Ray-Lawson (ANJ),2.600919
MTN-102,Sartelon (SLA),17.542955
MTN-102,Thimens (SLA),21.058752
MTN-103,St-Michel - Charland (VSP),6.71543
MTN-103,St-Michel - Robert (VSP),8.180281
MTN-103,St-Michel-17ième(Sous-Sol),8.462838
MTN-103,Butler (S-O),24.455998
MTN-103,De la Salle (MHM),14.768785
MTN-103,Fullum (VMA),17.858705
MTN-103,Iberville (PMR),15.026859
MTN-103,Jules-Poitras 1 (AHU),24.930002
MTN-103,Jules-Poitras 2 (SLA),12.763052
MTN-103,Lausanne (MTN),5.411641
MTN-103,Millen (AHU),9.244498
MTN-103,Riverside (VMA),21.782963
MTN-103,Saint-Pierre (LAC),26.87673
MTN-103,Sauvé (AHU),11.747025
MTN-103,Verdun (VER),25.899023
MTN-103,46 ieme (LAC),38.885953
MTN-103,Angrignon (LAS),29.552305
MTN-103,Armand-Chaput (RDP),11.003887
MTN-103,Autoroute 13 (PRF),29.743393
MTN-103,Château Pierrefonds (PRF),46.158426
MTN-103,Lafarge (sud) (MHM),10.917541
MTN-103,Langelier (SLE),4.282413
MTN-103,Newman (S-O),28.783941
MTN-103,Ray-Lawson (ANJ),4.866727
MTN-103,Sartelon (SLA),28.336527
MTN-103,Thimens (SLA),34.913016
MTN-104,St-Michel - Charland (VSP),3.604002
MTN-104,St-Michel - Robert (VSP),5.068853
MTN-104,St-Michel-17ième(Sous-Sol),6.038452
MTN-104,Butler (S-O),25.296758
MTN-104,De la Salle (MHM),14.905052
MTN-104,Fullum (VMA),17.994973
MTN-104,Iberville (PMR),12.661214
MTN-104,Jules-Poitras 1 (AHU),11.592383
MTN-104,Jules-Poitras 2 (SLA),10.218311
MTN-104,Lausanne (MTN),2.8669
MTN-104,Millen (AHU),6.699757
MTN-104,Riverside (VMA),21.91923
MTN-104,Saint-Pierre (LAC),27.012998
MTN-104,Sauvé (AHU),9.202284
MTN-104,Verdun (VER),25.560213
MTN-104,46 ieme (LAC),35.489371
MTN-104,Angrignon (LAS),42.217559
MTN-104,Armand-Chaput (RDP),10.771454
MTN-104,Autoroute 13 (PRF),26.346812
MTN-104,Château Pierrefonds (PRF),42.761844
MTN-104,Lafarge (sud) (MHM),11.053809
MTN-104,Langelier (SLE),2.782054
MTN-104,Newman (S-O),43.72602
MTN-104,Ray-Lawson (ANJ),4.634294
MTN-104,Sartelon (SLA),14.989984
MTN-104,Thimens (SLA),16.714352
MTN-305,St-Michel - Charland (VSP),0.930549
MTN-305,St-Michel - Robert (VSP),2.3954
MTN-305,St-Michel-17ième(Sous-Sol),2.677958
MTN-305,Butler (S-O),22.676516
MTN-305,De la Salle (MHM),9.496034
MTN-305,Fullum (VMA),12.577092
MTN-305,Iberville (PMR),10.122695
MTN-305,Jules-Poitras 1 (AHU),10.15459
MTN-305,Jules-Poitras 2 (SLA),8.780518
MTN-305,Lausanne (MTN),2.01404
MTN-305,Millen (AHU),5.261965
MTN-305,Riverside (VMA),16.50135
MTN-305,Saint-Pierre (LAC),20.524428
MTN-305,Sauvé (AHU),7.764492
MTN-305,Verdun (VER),22.939971
MTN-305,46 ieme (LAC),21.189607
MTN-305,Angrignon (LAS),23.355299
MTN-305,Armand-Chaput (RDP),13.375733
MTN-305,Autoroute 13 (PRF),26.181617
MTN-305,Château Pierrefonds (PRF),33.630555
MTN-305,Lafarge (sud) (MHM),13.658088
MTN-305,Langelier (SLE),4.191332
MTN-305,Newman (S-O),24.863764
MTN-305,Ray-Lawson (ANJ),7.238574
MTN-305,Sartelon (SLA),13.552191
MTN-305,Thimens (SLA),17.815129
MTN-307,St-Michel - Charland (VSP),6.467645
MTN-307,St-Michel - Robert (VSP),6.792283
MTN-307,St-Michel-17ième(Sous-Sol),8.215054
MTN-307,Butler (S-O),22.942078
MTN-307,De la Salle (MHM),13.254867
MTN-307,Fullum (VMA),16.344786
MTN-307,Iberville (PMR),13.512939
MTN-307,Jules-Poitras 1 (AHU),14.511735
MTN-307,Jules-Poitras 2 (SLA),13.137662
MTN-307,Lausanne (MTN),5.786251
MTN-307,Millen (AHU),9.619108
MTN-307,Riverside (VMA),20.269045
MTN-307,Saint-Pierre (LAC),25.362812
MTN-307,Sauvé (AHU),12.121636
MTN-307,Verdun (VER),24.385105
MTN-307,46 ieme (LAC),26.179244
MTN-307,Angrignon (LAS),28.038385
MTN-307,Armand-Chaput (RDP),9.121269
MTN-307,Autoroute 13 (PRF),32.806805
MTN-307,Château Pierrefonds (PRF),38.620195
MTN-307,Lafarge (sud) (MHM),9.403622
MTN-307,Langelier (SLE),2.208254
MTN-307,Newman (S-O),27.270021
MTN-307,Ray-Lawson (ANJ),2.984109
MTN-307,Sartelon (SLA),17.909336
MTN-307,Thimens (SLA),22.804766
OUT-101,St-Michel - Charland (VSP),11.942375
OUT-101,St-Michel - Robert (VSP),11.178987
OUT-101,St-Michel-17ième(Sous-Sol),11.074154
OUT-101,Butler (S-O),12.160211
OUT-101,De la Salle (MHM),19.186971
OUT-101,Fullum (VMA),16.155916
OUT-101,Iberville (PMR),7.854957
OUT-101,Jules-Poitras 1 (AHU),10.301328
OUT-101,Jules-Poitras 2 (SLA),7.273018
OUT-101,Lausanne (MTN),13.019388
OUT-101,Millen (AHU),9.675597
OUT-101,Riverside (VMA),7.848137
OUT-101,Saint-Pierre (LAC),10.008124
OUT-101,Sauvé (AHU),6.537826
OUT-101,Verdun (VER),12.423665
OUT-101,46 ieme (LAC),13.02057
OUT-101,Angrignon (LAS),12.838995
OUT-101,Armand-Chaput (RDP),24.618805
OUT-101,Autoroute 13 (PRF),13.079338
OUT-101,Château Pierrefonds (PRF),26.027172
OUT-101,Lafarge (sud) (MHM),19.930354
OUT-101,Langelier (SLE),15.560863
OUT-101,Newman (S-O),14.347458
OUT-101,Ray-Lawson (ANJ),17.549623
OUT-101,Sartelon (SLA),11.179512
OUT-101,Thimens (SLA),10.211747
PMR-101,St-Michel - Charland (VSP),8.113854
PMR-101,St-Michel - Robert (VSP),6.609356
PMR-101,St-Michel-17ième(Sous-Sol),7.18879
PMR-101,Butler (S-O),10.324915
PMR-101,De la Salle (MHM),7.574855
PMR-101,Fullum (VMA),5.768597
PMR-101,Iberville (PMR),4.7992
PMR-101,Jules-Poitras 1 (AHU),11.87318
PMR-101,Jules-Poitras 2 (SLA),8.844869
PMR-101,Lausanne (MTN),9.592773
PMR-101,Millen (AHU),7.4739
