Removal Site 1,Removal Site 2,Distance
RPP-101,AHU-102,9.57
RPP-102,AHU-102,13.42
RPP-103,AHU-102,14.02
RPP-104,AHU-102,15.21
RPP-201,AHU-102,11.17
RPP-204,AHU-102,11.4
RPP-205,AHU-102,13.45
SLA-363,AHU-102,3.19
SLA-364,AHU-102,5.79
SLA-365,AHU-102,5.54
SLA-366,AHU-102,3.33
SLA-367,AHU-102,3.61
SLA-368,AHU-102,6.01
SLA-369,AHU-102,5.93
SLA-370,AHU-102,7.45
SLA-371,AHU-102,4.59
SLE-109,AHU-102,14.47
SLE-110,AHU-102,16.11
SLE-111,AHU-102,16.89
SLE-303,AHU-102,16.26
SLE-304,AHU-102,16.26
S-O-103,AHU-102,21.8
S-O-104,AHU-102,19.73
S-O-201A,AHU-102,18.47
S-O-201B,AHU-102,17.29
VER-310A,AHU-102,20.2
VER-310B,AHU-102,22.35
VMA-109,AHU-102,24.11
VMA-110,AHU-102,19.29
VMA-111,AHU-102,13.75
VMA-306,AHU-102,13.94
VMA-307,AHU-102,14.36
VSP-103,AHU-102,10.2
VSP-104,AHU-102,7.42
VSP-107,AHU-102,9.94
VSP-108,AHU-102,11.43
VSP-109,AHU-102,7.22
VSP-205,AHU-102,9.49
VSP-206,AHU-102,10.7
AHU-101,AHU-103,0
AHU-102,AHU-103,0.35
AHU-103,AHU-103,0
AHU-104,AHU-103,1.27
AHU-105,AHU-103,4.93
AHU-106,AHU-103,9.59
AHU-107,AHU-103,6.07
AHU-201,AHU-103,5.56
AHU-202,AHU-103,2.75
ANJ-101,AHU-103,20.4
ANJ-309,AHU-103,19.17
ANJ-310,AHU-103,18.5
ANJ-311,AHU-103,16.14
ANJ-312,AHU-103,18.61
CDN-111,AHU-103,14.44
CDN-112,AHU-103,12.53
CDN-113,AHU-103,12.92
CDN-114,AHU-103,11.13
CDN-115,AHU-103,11.97
CDN-116,AHU-103,11.68
CDN-301,AHU-103,13.51
IBI-301,AHU-103,35.55
LAC-102,AHU-103,16.85
LAC-104,AHU-103,14.39
LAC-305,AHU-103,17.01
LAC-306,AHU-103,17.5
LAS-321,AHU-103,20.58
LAS-323,AHU-103,25.55
