Removal Site 1,Removal Site 2,Distance
RDP-105,LAS-323,38.87
RDP-106,LAS-323,38.59
RDP-107,LAS-323,35.81
RDP-201,LAS-323,34.13
RDP-202,LAS-323,34.46
RDP-203,LAS-323,35.81
RPP-101,LAS-323,17.47
RPP-102,LAS-323,20.06
RPP-103,LAS-323,24.66
RPP-104,LAS-323,20.28
RPP-201,LAS-323,21.82
RPP-204,LAS-323,22.04
RPP-205,LAS-323,24.1
SLA-363,LAS-323,18.6
SLA-364,LAS-323,15.51
SLA-365,LAS-323,21.06
SLA-366,LAS-323,19.58
SLA-367,LAS-323,21.75
SLA-368,LAS-323,19.69
SLA-369,LAS-323,15.73
SLA-370,LAS-323,17.18
SLA-371,LAS-323,18.26
SLE-109,LAS-323,25.12
SLE-110,LAS-323,26.76
SLE-111,LAS-323,27.54
SLE-303,LAS-323,26.9
SLE-304,LAS-323,26.9
S-O-103,LAS-323,5.67
S-O-104,LAS-323,8.3
S-O-201A,LAS-323,4.91
S-O-201B,LAS-323,5.69
VER-310A,LAS-323,2.59
VER-310B,LAS-323,10.02
VMA-109,LAS-323,14.98
VMA-110,LAS-323,11.55
VMA-111,LAS-323,14.51
VMA-306,LAS-323,14.89
VMA-307,LAS-323,14.69
VSP-103,LAS-323,20.84
VSP-104,LAS-323,22.57
VSP-107,LAS-323,20.58
VSP-108,LAS-323,22.08
VSP-109,LAS-323,17.88
VSP-205,LAS-323,24.34
VSP-206,LAS-323,21.35
AHU-101,LAS-325,22.72
AHU-102,LAS-325,22.51
AHU-103,LAS-325,22.72
AHU-104,LAS-325,22.99
AHU-105,LAS-325,20.45
AHU-106,LAS-325,38.22
AHU-107,LAS-325,21.11
AHU-201,LAS-325,23.74
AHU-202,LAS-325,22.71
ANJ-101,LAS-325,31.64
ANJ-309,LAS-325,30.41
ANJ-310,LAS-325,26.08
ANJ-311,LAS-325,27.38
ANJ-312,LAS-325,31.27
CDN-111,LAS-325,8.75
CDN-112,LAS-325,11.34
CDN-113,LAS-325,11.69
CDN-114,LAS-325,13.8
CDN-115,LAS-325,14.65
CDN-116,LAS-325,14.35
CDN-301,LAS-325,11.49
IBI-301,LAS-325,30.59
LAC-102,LAS-325,8.48
LAC-104,LAS-325,10.77
LAC-305,LAS-325,11.89
LAC-306,LAS-325,8.27
LAS-321,LAS-325,4.26
LAS-323,LAS-325,3.3
LAS-325,LAS-325,0
LAS-326,LAS-325,2.69
LAS-327,LAS-325,1.48
LAS-328,LAS-325,2.56
LAS-329,LAS-325,2.49
LAS-330,LAS-325,2.62
LAS-333,LAS-325,0.75
MHM-105,LAS-325,24.31
MHM-106,LAS-325,25.24
MHM-107,LAS-325,25.37
MHM-108,LAS-325,27.69
MHM-109,LAS-325,18.23
MHM-209,LAS-325,19.94
MHM-210,LAS-325,20.19
MHM-211,LAS-325,24.41
MTN-102,LAS-325,31.24
MTN-103,LAS-325,44.46
MTN-104,LAS-325,41.07
MTN-305,LAS-325,26.64
MTN-307,LAS-325,31.63
OUT-101,LAS-325,16.12
PMR-101,LAS-325,20.36
PMR-102,LAS-325,15.05
PMR-203,LAS-325,19.47
PMR-204,LAS-325,18.35
PRF-304B,LAS-325,22.85
PRF-304C,LAS-325,23.71
PRF-304D,LAS-325,23.66
PRF-304E,LAS-325,20.53
PRF-304F,LAS-325,17.27
RDP-101,LAS-325,46.75
RDP-102,LAS-325,33.09
RDP-103,LAS-325,46.75
RDP-105,LAS-325,39.78
RDP-106,LAS-325,39.5
RDP-107,LAS-325,36.72
RDP-201,LAS-325,35.04
RDP-202,LAS-325,35.36
RDP-203,LAS-325,36.72
RPP-101,LAS-325,18.38
RPP-102,LAS-325,20.91
RPP-103,LAS-325,25.57
RPP-104,LAS-325,21.14
RPP-201,LAS-325,22.73
RPP-204,LAS-325,22.95
RPP-205,LAS-325,23.3
SLA-363,LAS-325,20.39
SLA-364,LAS-325,16.42
SLA-365,LAS-325,18.95
SLA-366,LAS-325,20.49
SLA-367,LAS-325,19.64
SLA-368,LAS-325,17.58
SLA-369,LAS-325,16.64
SLA-370,LAS-325,18.08
SLA-371,LAS-325,19.17
SLE-109,LAS-325,26.03
SLE-110,LAS-325,27.67
SLE-111,LAS-325,28.44
SLE-303,LAS-325,27.81
SLE-304,LAS-325,27.81
S-O-103,LAS-325,4.14
S-O-104,LAS-325,12.85
S-O-201A,LAS-325,5.25
S-O-201B,LAS-325,9.87
VER-310A,LAS-325,5.09
VER-310B,LAS-325,14.23
VMA-109,LAS-325,15.84
VMA-110,LAS-325,12.4
VMA-111,LAS-325,15.36
VMA-306,LAS-325,15.75
VMA-307,LAS-325,15.55
VSP-103,LAS-325,21.75
VSP-104,LAS-325,23.48
VSP-107,LAS-325,21.49
VSP-108,LAS-325,22.99
VSP-109,LAS-325,18.79
VSP-205,LAS-325,25.25
VSP-206,LAS-325,22.26
AHU-101,LAS-326,22.26
AHU-102,LAS-326,22.06
AHU-103,LAS-326,22.26
AHU-104,LAS-326,22.54
AHU-105,LAS-326,20
AHU-106,LAS-326,37.77
AHU-107,LAS-326,20.66
AHU-201,LAS-326,23.29
AHU-202,LAS-326,22.26
ANJ-101,LAS-326,31.19
ANJ-309,LAS-326,29.96
ANJ-310,LAS-326,25.62
ANJ-311,LAS-326,26.93
ANJ-312,LAS-326,30.82
CDN-111,LAS-326,8.3
CDN-112,LAS-326,10.89
CDN-113,LAS-326,11.23
CDN-114,LAS-326,13.35
CDN-115,LAS-326,14.2
CDN-116,LAS-326,13.9
CDN-301,LAS-326,11.03
IBI-301,LAS-326,30.13
LAC-102,LAS-326,8.03
LAC-104,LAS-326,10.32
LAC-305,LAS-326,11.44
LAC-306,LAS-326,4.22
LAS-321,LAS-326,7
LAS-323,LAS-326,6.04
LAS-325,LAS-326,2.89
LAS-326,LAS-326,0
LAS-327,LAS-326,3.12
LAS-328,LAS-326,4.39
LAS-329,LAS-326,2.32
LAS-330,LAS-326,0.06
LAS-333,LAS-326,2.23
MHM-105,LAS-326,23.86
MHM-106,LAS-326,24.79
MHM-107,LAS-326,24.92
MHM-108,LAS-326,27.23
MHM-109,LAS-326,17.78
MHM-209,LAS-326,19.49
MHM-210,LAS-326,19.74
MHM-211,LAS-326,23.96
MTN-102,LAS-326,30.79
MTN-103,LAS-326,44.01
MTN-104,LAS-326,40.61
MTN-305,LAS-326,26.18
MTN-307,LAS-326,31.17
OUT-101,LAS-326,15.67
PMR-101,LAS-326,19.9
PMR-102,LAS-326,14.6
PMR-203,LAS-326,19.02
PMR-204,LAS-326,17.9
PRF-304B,LAS-326,22.4
PRF-304C,LAS-326,23.25
PRF-304D,LAS-326,23.21
PRF-304E,LAS-326,20.08
PRF-304F,LAS-326,16.82
RDP-101,LAS-326,46.3
RDP-102,LAS-326,32.64
RDP-103,LAS-326,46.3
RDP-105,LAS-326,39.33
RDP-106,LAS-326,39.04
RDP-107,LAS-326,36.27
RDP-201,LAS-326,34.59
RDP-202,LAS-326,34.91
RDP-203,LAS-326,36.27
RPP-101,LAS-326,17.92
RPP-102,LAS-326,20.46
RPP-103,LAS-326,25.12
RPP-104,LAS-326,20.68
RPP-201,LAS-326,22.27
RPP-204,LAS-326,22.49
RPP-205,LAS-326,22.85
SLA-363,LAS-326,19.94
SLA-364,LAS-326,15.96
SLA-365,LAS-326,18.49
SLA-366,LAS-326,20.04
SLA-367,LAS-326,19.19
SLA-368,LAS-326,17.12
SLA-369,LAS-326,16.18
SLA-370,LAS-326,17.62
SLA-371,LAS-326,18.71
SLE-109,LAS-326,25.57
SLE-110,LAS-326,27.21
SLE-111,LAS-326,27.99
SLE-303,LAS-326,27.36
SLE-304,LAS-326,27.36
S-O-103,LAS-326,3.96
S-O-104,LAS-326,12.4
S-O-201A,LAS-326,5.35
S-O-201B,LAS-326,9.42
VER-310A,LAS-326,7.83
VER-310B,LAS-326,13.77
VMA-109,LAS-326,15.38
VMA-110,LAS-326,11.95
VMA-111,LAS-326,14.91
VMA-306,LAS-326,15.3
VMA-307,LAS-326,15.1
VSP-103,LAS-326,21.29
VSP-104,LAS-326,23.03
VSP-107,LAS-326,21.04
VSP-108,LAS-326,22.53
VSP-109,LAS-326,18.33
VSP-205,LAS-326,24.8
VSP-206,LAS-326,21.8
AHU-101,LAS-327,20.86
AHU-102,LAS-327,20.65
AHU-103,LAS-327,20.86
AHU-104,LAS-327,21.13
AHU-105,LAS-327,18.59
AHU-106,LAS-327,36.92
AHU-107,LAS-327,19.26
AHU-201,LAS-327,21.88
AHU-202,LAS-327,20.86
ANJ-101,LAS-327,29.78
ANJ-309,LAS-327,28.55
ANJ-310,LAS-327,24.22
ANJ-311,LAS-327,25.52
ANJ-312,LAS-327,29.41
CDN-111,LAS-327,6.89
CDN-112,LAS-327,9.49
CDN-113,LAS-327,9.83
CDN-114,LAS-327,11.94
CDN-115,LAS-327,12.79
CDN-116,LAS-327,12.5
CDN-301,LAS-327,9.63
IBI-301,LAS-327,29.29
LAC-102,LAS-327,7.18
LAC-104,LAS-327,9.48
LAC-305,LAS-327,10.6
LAC-306,LAS-327,6.97
LAS-321,LAS-327,3.83
LAS-323,LAS-327,2.86
LAS-325,LAS-327,1.48
LAS-326,LAS-327,3.11
LAS-327,LAS-327,0
LAS-328,LAS-327,1.93
LAS-329,LAS-327,1.15
LAS-330,LAS-327,3.17
LAS-333,LAS-327,2.23
MHM-105,LAS-327,22.46
MHM-106,LAS-327,23.39
MHM-107,LAS-327,23.51
MHM-108,LAS-327,25.83
MHM-109,LAS-327,16.38
MHM-209,LAS-327,18.08
MHM-210,LAS-327,18.33
MHM-211,LAS-327,22.55
MTN-102,LAS-327,29.39
MTN-103,LAS-327,43.17
MTN-104,LAS-327,39.77
MTN-305,LAS-327,24.78
MTN-307,LAS-327,29.77
OUT-101,LAS-327,14.26
PMR-101,LAS-327,18.5
PMR-102,LAS-327,13.2
PMR-203,LAS-327,17.62
PMR-204,LAS-327,16.49
PRF-304B,LAS-327,21.56
PRF-304C,LAS-327,22.41
PRF-304D,LAS-327,22.36
PRF-304E,LAS-327,19.24
PRF-304F,LAS-327,15.98
RDP-101,LAS-327,45.46
RDP-102,LAS-327,31.23
RDP-103,LAS-327,45.46
RDP-105,LAS-327,37.93
RDP-106,LAS-327,37.64
RDP-107,LAS-327,34.87
RDP-201,LAS-327,33.18
RDP-202,LAS-327,33.51
RDP-203,LAS-327,34.87
RPP-101,LAS-327,16.52
RPP-102,LAS-327,19.06
RPP-103,LAS-327,23.72
RPP-104,LAS-327,19.28
RPP-201,LAS-327,20.87
RPP-204,LAS-327,21.09
RPP-205,LAS-327,21.44
SLA-363,LAS-327,19.1
SLA-364,LAS-327,14.56
SLA-365,LAS-327,17.65
SLA-366,LAS-327,18.64
SLA-367,LAS-327,18.35
SLA-368,LAS-327,16.28
SLA-369,LAS-327,14.78
SLA-370,LAS-327,16.78
SLA-371,LAS-327,17.31
SLE-109,LAS-327,24.17
SLE-110,LAS-327,25.81
SLE-111,LAS-327,26.59
SLE-303,LAS-327,25.96
SLE-304,LAS-327,25.96
S-O-103,LAS-327,2.79
S-O-104,LAS-327,10.99
S-O-201A,LAS-327,4.17
S-O-201B,LAS-327,8.02
VER-310A,LAS-327,4.65
VER-310B,LAS-327,12.37
VMA-109,LAS-327,13.98
VMA-110,LAS-327,10.55
VMA-111,LAS-327,13.51
VMA-306,LAS-327,13.89
VMA-307,LAS-327,13.69
VSP-103,LAS-327,19.89
VSP-104,LAS-327,21.62
VSP-107,LAS-327,19.64
VSP-108,LAS-327,21.13
VSP-109,LAS-327,16.93
VSP-205,LAS-327,23.39
VSP-206,LAS-327,20.4
AHU-101,LAS-328,20.22
AHU-102,LAS-328,20.01
AHU-103,LAS-328,20.22
AHU-104,LAS-328,20.49
AHU-105,LAS-328,17.95
AHU-106,LAS-328,24.65
AHU-107,LAS-328,18.62
AHU-201,LAS-328,21.24
AHU-202,LAS-328,20.22
ANJ-101,LAS-328,29.14
ANJ-309,LAS-328,27.91
ANJ-310,LAS-328,23.58
ANJ-311,LAS-328,24.88
ANJ-312,LAS-328,28.77
CDN-111,LAS-328,6.25
CDN-112,LAS-328,8.85
CDN-113,LAS-328,9.19
CDN-114,LAS-328,11.3
CDN-115,LAS-328,12.15
CDN-116,LAS-328,11.86
CDN-301,LAS-328,8.99
IBI-301,LAS-328,32.52
LAC-102,LAS-328,10.41
LAC-104,LAS-328,12.71
LAC-305,LAS-328,13.83
LAC-306,LAS-328,10.2
LAS-321,LAS-328,3.49
LAS-323,LAS-328,2.53
LAS-325,LAS-328,2.52
LAS-326,LAS-328,4.38
LAS-327,LAS-328,1.94
LAS-328,LAS-328,0
LAS-329,LAS-328,2.69
LAS-330,LAS-328,4.44
LAS-333,LAS-328,3.27
MHM-105,LAS-328,21.82
MHM-106,LAS-328,22.75
MHM-107,LAS-328,22.87
MHM-108,LAS-328,25.19
MHM-109,LAS-328,15.74
MHM-209,LAS-328,17.44
MHM-210,LAS-328,17.69
MHM-211,LAS-328,21.91
MTN-102,LAS-328,28.75
MTN-103,LAS-328,30.64
MTN-104,LAS-328,27.03
MTN-305,LAS-328,24.14
MTN-307,LAS-328,29.13
OUT-101,LAS-328,13.62
PMR-101,LAS-328,17.73
PMR-102,LAS-328,12.56
PMR-203,LAS-328,16.98
PMR-204,LAS-328,15.85
PRF-304B,LAS-328,24.79
PRF-304C,LAS-328,25.64
PRF-304D,LAS-328,25.59
PRF-304E,LAS-328,22.47
PRF-304F,LAS-328,19.21
RDP-101,LAS-328,33.12
RDP-102,LAS-328,30.59
RDP-103,LAS-328,33.12
RDP-105,LAS-328,37.29
RDP-106,LAS-328,37
RDP-107,LAS-328,34.23
RDP-201,LAS-328,32.54
RDP-202,LAS-328,32.87
RDP-203,LAS-328,34.23
RPP-101,LAS-328,15.88
RPP-102,LAS-328,18.42
RPP-103,LAS-328,23.08
RPP-104,LAS-328,18.64
RPP-201,LAS-328,20.23
RPP-204,LAS-328,20.45
RPP-205,LAS-328,20.8
SLA-363,LAS-328,17.01
SLA-364,LAS-328,13.92
SLA-365,LAS-328,20.88
SLA-366,LAS-328,18
SLA-367,LAS-328,21.58
SLA-368,LAS-328,19.51
SLA-369,LAS-328,14.14
SLA-370,LAS-328,20.01
SLA-371,LAS-328,16.67
SLE-109,LAS-328,23.53
SLE-110,LAS-328,25.17
SLE-111,LAS-328,25.95
SLE-303,LAS-328,25.31
SLE-304,LAS-328,25.31
S-O-103,LAS-328,4.33
S-O-104,LAS-328,10.35
S-O-201A,LAS-328,3.38
S-O-201B,LAS-328,6.15
VER-310A,LAS-328,3.2
VER-310B,LAS-328,11.73
VMA-109,LAS-328,13.34
VMA-110,LAS-328,9.91
VMA-111,LAS-328,12.87
VMA-306,LAS-328,13.25
VMA-307,LAS-328,13.05
VSP-103,LAS-328,19.25
VSP-104,LAS-328,20.98
VSP-107,LAS-328,19
VSP-108,LAS-328,20.49
VSP-109,LAS-328,16.29
VSP-205,LAS-328,22.75
VSP-206,LAS-328,19.76
AHU-101,LAS-329,20.27
AHU-102,LAS-329,20.06
AHU-103,LAS-329,20.27
AHU-104,LAS-329,20.55
AHU-105,LAS-329,18.01
AHU-106,LAS-329,36.34
AHU-107,LAS-329,18.67
AHU-201,LAS-329,21.3
AHU-202,LAS-329,20.27
ANJ-101,LAS-329,29.2
ANJ-309,LAS-329,27.97
ANJ-310,LAS-329,23.63
ANJ-311,LAS-329,24.93
ANJ-312,LAS-329,28.83
CDN-111,LAS-329,6.3
CDN-112,LAS-329,8.9
CDN-113,LAS-329,9.24
CDN-114,LAS-329,11.36
CDN-115,LAS-329,12.2
CDN-116,LAS-329,11.91
CDN-301,LAS-329,9.04
IBI-301,LAS-329,28.7
LAC-102,LAS-329,6.6
LAC-104,LAS-329,8.89
LAC-305,LAS-329,10.01
LAC-306,LAS-329,6.39
LAS-321,LAS-329,4.85
LAS-323,LAS-329,3.89
LAS-325,LAS-329,2.51
LAS-326,LAS-329,2.24
LAS-327,LAS-329,1.03
LAS-328,LAS-329,2.28
LAS-329,LAS-329,0
LAS-330,LAS-329,2.3
LAS-333,LAS-329,3.26
MHM-105,LAS-329,21.87
MHM-106,LAS-329,22.8
MHM-107,LAS-329,22.93
MHM-108,LAS-329,25.24
MHM-109,LAS-329,15.79
MHM-209,LAS-329,17.5
MHM-210,LAS-329,17.75
MHM-211,LAS-329,21.97
MTN-102,LAS-329,28.8
MTN-103,LAS-329,42.58
MTN-104,LAS-329,39.18
MTN-305,LAS-329,24.19
MTN-307,LAS-329,29.18
OUT-101,LAS-329,13.68
PMR-101,LAS-329,17.78
PMR-102,LAS-329,12.61
PMR-203,LAS-329,17.03
PMR-204,LAS-329,15.91
PRF-304B,LAS-329,20.97
PRF-304C,LAS-329,21.82
PRF-304D,LAS-329,21.78
PRF-304E,LAS-329,18.65
PRF-304F,LAS-329,15.39
RDP-101,LAS-329,44.87
RDP-102,LAS-329,30.64
RDP-103,LAS-329,44.87
RDP-105,LAS-329,37.34
RDP-106,LAS-329,37.05
RDP-107,LAS-329,34.28
RDP-201,LAS-329,32.6
RDP-202,LAS-329,32.92
RDP-203,LAS-329,34.28
RPP-101,LAS-329,15.93
RPP-102,LAS-329,18.47
RPP-103,LAS-329,23.13
RPP-104,LAS-329,18.69
RPP-201,LAS-329,20.28
RPP-204,LAS-329,20.5
RPP-205,LAS-329,20.86
SLA-363,LAS-329,18.51
SLA-364,LAS-329,13.97
SLA-365,LAS-329,17.06
SLA-366,LAS-329,18.05
SLA-367,LAS-329,17.76
SLA-368,LAS-329,15.69
SLA-369,LAS-329,14.19
SLA-370,LAS-329,16.19
SLA-371,LAS-329,16.72
SLE-109,LAS-329,23.58
SLE-110,LAS-329,25.22
SLE-111,LAS-329,26
SLE-303,LAS-329,25.37
SLE-304,LAS-329,25.37
S-O-103,LAS-329,2.21
S-O-104,LAS-329,10.41
S-O-201A,LAS-329,3.25
S-O-201B,LAS-329,6.01
VER-310A,LAS-329,5.86
VER-310B,LAS-329,11.78
VMA-109,LAS-329,13.39
VMA-110,LAS-329,9.96
VMA-111,LAS-329,12.92
VMA-306,LAS-329,13.31
VMA-307,LAS-329,13.11
VSP-103,LAS-329,19.3
VSP-104,LAS-329,21.04
VSP-107,LAS-329,19.05
VSP-108,LAS-329,20.54
VSP-109,LAS-329,16.34
VSP-205,LAS-329,22.81
VSP-206,LAS-329,19.81
AHU-101,LAS-330,22.33
AHU-102,LAS-330,22.12
AHU-103,LAS-330,22.33
AHU-104,LAS-330,22.6
AHU-105,LAS-330,20.06
AHU-106,LAS-330,37.83
AHU-107,LAS-330,20.72
AHU-201,LAS-330,23.35
AHU-202,LAS-330,22.32
ANJ-101,LAS-330,31.25
ANJ-309,LAS-330,30.02
ANJ-310,LAS-330,25.69
ANJ-311,LAS-330,26.99
ANJ-312,LAS-330,30.88
CDN-111,LAS-330,8.36
CDN-112,LAS-330,10.95
CDN-113,LAS-330,11.3
CDN-114,LAS-330,13.41
CDN-115,LAS-330,14.26
CDN-116,LAS-330,13.96
CDN-301,LAS-330,11.1
IBI-301,LAS-330,30.2
LAC-102,LAS-330,8.09
LAC-104,LAS-330,10.38
LAC-305,LAS-330,11.5
LAC-306,LAS-330,4.28
LAS-321,LAS-330,6.94
LAS-323,LAS-330,5.98
LAS-325,LAS-330,2.83
LAS-326,LAS-330,0.06
LAS-327,LAS-330,3.18
LAS-328,LAS-330,4.45
LAS-329,LAS-330,2.38
LAS-330,LAS-330,0
LAS-333,LAS-330,2.17
MHM-105,LAS-330,23.92
MHM-106,LAS-330,24.85
MHM-107,LAS-330,24.98
MHM-108,LAS-330,27.3
MHM-109,LAS-330,17.84
MHM-209,LAS-330,19.55
MHM-210,LAS-330,19.8
MHM-211,LAS-330,24.02
MTN-102,LAS-330,30.85
MTN-103,LAS-330,44.07
MTN-104,LAS-330,40.68
MTN-305,LAS-330,26.25
MTN-307,LAS-330,31.24
OUT-101,LAS-330,15.73
PMR-101,LAS-330,19.84
PMR-102,LAS-330,14.66
PMR-203,LAS-330,19.08
PMR-204,LAS-330,17.96
PRF-304B,LAS-330,22.46
PRF-304C,LAS-330,23.32
PRF-304D,LAS-330,23.27
PRF-304E,LAS-330,20.14
PRF-304F,LAS-330,16.88
RDP-101,LAS-330,46.36
RDP-102,LAS-330,32.7
RDP-103,LAS-330,46.36
RDP-105,LAS-330,39.39
RDP-106,LAS-330,39.11
RDP-107,LAS-330,36.33
RDP-201,LAS-330,34.65
RDP-202,LAS-330,34.97
RDP-203,LAS-330,36.33
RPP-101,LAS-330,17.99
RPP-102,LAS-330,20.52
RPP-103,LAS-330,25.18
RPP-104,LAS-330,20.75
RPP-201,LAS-330,22.34
RPP-204,LAS-330,22.56
RPP-205,LAS-330,22.91
SLA-363,LAS-330,20
SLA-364,LAS-330,16.03
SLA-365,LAS-330,18.56
SLA-366,LAS-330,20.1
SLA-367,LAS-330,19.25
SLA-368,LAS-330,17.19
SLA-369,LAS-330,16.25
SLA-370,LAS-330,17.69
SLA-371,LAS-330,18.78
SLE-109,LAS-330,25.64
SLE-110,LAS-330,27.28
SLE-111,LAS-330,28.05
SLE-303,LAS-330,27.42
SLE-304,LAS-330,27.42
S-O-103,LAS-330,4.03
S-O-104,LAS-330,12.46
S-O-201A,LAS-330,5.41
S-O-201B,LAS-330,9.48
VER-310A,LAS-330,7.76
VER-310B,LAS-330,13.84
VMA-109,LAS-330,15.45
VMA-110,LAS-330,12.01
VMA-111,LAS-330,14.97
VMA-306,LAS-330,15.36
VMA-307,LAS-330,15.16
VSP-103,LAS-330,21.36
VSP-104,LAS-330,23.09
VSP-107,LAS-330,21.1
VSP-108,LAS-330,22.6
VSP-109,LAS-330,18.4
VSP-205,LAS-330,24.86
VSP-206,LAS-330,21.87
AHU-101,LAS-333,23.28
AHU-102,LAS-333,23.07
AHU-103,LAS-333,23.28
AHU-104,LAS-333,23.55
AHU-105,LAS-333,21.01
AHU-106,LAS-333,38.78
AHU-107,LAS-333,21.67
AHU-201,LAS-333,24.3
AHU-202,LAS-333,23.27
ANJ-101,LAS-333,32.16
ANJ-309,LAS-333,30.97
ANJ-310,LAS-333,26.64
ANJ-311,LAS-333,27.94
ANJ-312,LAS-333,31.83
CDN-111,LAS-333,9.31
CDN-112,LAS-333,11.9
CDN-113,LAS-333,12.25
CDN-114,LAS-333,14.36
CDN-115,LAS-333,15.21
CDN-116,LAS-333,14.91
CDN-301,LAS-333,12.05
IBI-301,LAS-333,31.15
LAC-102,LAS-333,9.04
LAC-104,LAS-333,11.33
LAC-305,LAS-333,12.45
LAC-306,LAS-333,6.45
LAS-321,LAS-333,4.77
LAS-323,LAS-333,3.81
LAS-325,LAS-333,0.75
LAS-326,LAS-333,2.23
LAS-327,LAS-333,2.23
LAS-328,LAS-333,3.31
LAS-329,LAS-333,3.37
LAS-330,LAS-333,2.17
LAS-333,LAS-333,0
MHM-105,LAS-333,24.87
MHM-106,LAS-333,25.8
MHM-107,LAS-333,25.93
MHM-108,LAS-333,28.25
MHM-109,LAS-333,18.79
MHM-209,LAS-333,20.5
MHM-210,LAS-333,20.75
MHM-211,LAS-333,24.97
MTN-102,LAS-333,31.8
MTN-103,LAS-333,44.98
MTN-104,LAS-333,41.63
MTN-305,LAS-333,27.2
MTN-307,LAS-333,32.19
OUT-101,LAS-333,16.68
PMR-101,LAS-333,20.79
PMR-102,LAS-333,15.61
PMR-203,LAS-333,20.03
PMR-204,LAS-333,18.91
PRF-304B,LAS-333,23.41
PRF-304C,LAS-333,24.27
PRF-304D,LAS-333,24.22
PRF-304E,LAS-333,21.09
PRF-304F,LAS-333,17.83
RDP-101,LAS-333,47.27
RDP-102,LAS-333,33.61
RDP-103,LAS-333,47.27
RDP-105,LAS-333,40.3
RDP-106,LAS-333,40.02
RDP-107,LAS-333,37.24
RDP-201,LAS-333,35.56
RDP-202,LAS-333,35.89
RDP-203,LAS-333,37.24
RPP-101,LAS-333,18.94
RPP-102,LAS-333,21.47
RPP-103,LAS-333,26.13
RPP-104,LAS-333,21.7
RPP-201,LAS-333,23.29
RPP-204,LAS-333,23.51
RPP-205,LAS-333,23.86
SLA-363,LAS-333,20.95
SLA-364,LAS-333,16.98
SLA-365,LAS-333,19.51
SLA-366,LAS-333,21.05
SLA-367,LAS-333,20.2
SLA-368,LAS-333,18.14
SLA-369,LAS-333,17.2
SLA-370,LAS-333,18.64
SLA-371,LAS-333,19.73
SLE-109,LAS-333,26.59
SLE-110,LAS-333,28.23
SLE-111,LAS-333,29
SLE-303,LAS-333,28.37
SLE-304,LAS-333,28.37
S-O-103,LAS-333,5.01
S-O-104,LAS-333,13.41
S-O-201A,LAS-333,6.39
S-O-201B,LAS-333,10.43
VER-310A,LAS-333,5.6
VER-310B,LAS-333,14.79
VMA-109,LAS-333,16.4
VMA-110,LAS-333,12.96
VMA-111,LAS-333,15.92
VMA-306,LAS-333,16.31
VMA-307,LAS-333,16.11
VSP-103,LAS-333,22.31
VSP-104,LAS-333,24.04
VSP-107,LAS-333,22.05
VSP-108,LAS-333,23.55
VSP-109,LAS-333,19.35
VSP-205,LAS-333,25.81
VSP-206,LAS-333,22.82
AHU-101,MHM-105,20.69
AHU-102,MHM-105,20.48
AHU-103,MHM-105,20.69
AHU-104,MHM-105,20.96
AHU-105,MHM-105,14.8
AHU-106,MHM-105,23.77
AHU-107,MHM-105,14.23
AHU-201,MHM-105,15.2
AHU-202,MHM-105,16.5
ANJ-101,MHM-105,7.22
ANJ-309,MHM-105,4.25
ANJ-310,MHM-105,3.29
ANJ-311,MHM-105,5.33
ANJ-312,MHM-105,7.16
CDN-111,MHM-105,19.12
CDN-112,MHM-105,20.38
CDN-113,MHM-105,20.73
CDN-114,MHM-105,20.06
CDN-115,MHM-105,20.91
CDN-116,MHM-105,20.61
CDN-301,MHM-105,20.53
IBI-301,MHM-105,42.58
LAC-102,MHM-105,27.44
LAC-104,MHM-105,23.33
LAC-305,MHM-105,25.95
LAC-306,MHM-105,26.44
LAS-321,MHM-105,31.58
LAS-323,MHM-105,33.04
LAS-325,MHM-105,24.21
LAS-326,MHM-105,23.94
LAS-327,MHM-105,22.72
LAS-328,MHM-105,23.98
LAS-329,MHM-105,21.7
LAS-330,MHM-105,24
LAS-333,MHM-105,25.09
MHM-105,MHM-105,0
MHM-106,MHM-105,0.99
MHM-107,MHM-105,2.58
MHM-108,MHM-105,4.81
MHM-109,MHM-105,7.29
MHM-209,MHM-105,5.03
MHM-210,MHM-105,5.72
MHM-211,MHM-105,2.43
MTN-102,MHM-105,7.13
MTN-103,MHM-105,9.03
MTN-104,MHM-105,9.43
MTN-305,MHM-105,11.64
MTN-307,MHM-105,7.51
OUT-101,MHM-105,18.04
PMR-101,MHM-105,11.19
PMR-102,MHM-105,14.24
PMR-203,MHM-105,10.64
PMR-204,MHM-105,8.63
PRF-304B,MHM-105,36.75
PRF-304C,MHM-105,36.7
PRF-304D,MHM-105,34.75
PRF-304E,MHM-105,32.93
PRF-304F,MHM-105,24.36
RDP-101,MHM-105,11.51
RDP-102,MHM-105,8.67
RDP-103,MHM-105,11.51
RDP-105,MHM-105,15.36
RDP-106,MHM-105,15.08
RDP-107,MHM-105,8.3
RDP-201,MHM-105,10.62
RDP-202,MHM-105,10.95
RDP-203,MHM-105,8.3
RPP-101,MHM-105,15.81
RPP-102,MHM-105,8.42
RPP-103,MHM-105,8.62
RPP-104,MHM-105,6.7
RPP-201,MHM-105,12.46
RPP-204,MHM-105,11.51
RPP-205,MHM-105,9.52
SLA-363,MHM-105,20.14
SLA-364,MHM-105,20.1
SLA-365,MHM-105,21.91
SLA-366,MHM-105,18.46
SLA-367,MHM-105,22.66
SLA-368,MHM-105,22.38
SLA-369,MHM-105,20.72
SLA-370,MHM-105,21.81
